smile,head_pitch,head_roll,head_yaw,gender,age,moustache,beard,sideburns,glasses,anger,contempt,disgust,fear,happiness,neutral,sadness,surprise,blurLevel,blurvalue,exposureLevel,exposurevalue,noiseLevel,noisevalue,eyeMakeup,lipMakeup,foreheadOccluded,eyeOccluded,mouthOccluded,bald,invisible
0.003,0.0,1.4,-2.7,female,27.8,0.0,0.0,0.0,NoGlasses,0.0,0.002,0.0,0.0,0.003,0.995,0.0,0.0,low,0.07,goodExposure,0.48,low,0.0,True,True,False,False,False,0.01,False
1.0,0.0,0.3,-4.2,female,28.8,0.0,0.0,0.0,NoGlasses,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,medium,0.3,goodExposure,0.47,low,0.11,True,False,False,False,False,0.01,False
0.0,0.0,-0.5,-0.3,male,25.1,0.0,0.2,0.3,NoGlasses,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,medium,0.26,goodExposure,0.5,medium,0.47,False,False,False,False,False,0.0,False
1.0,0.0,-0.5,2.0,female,25.2,0.0,0.0,0.0,NoGlasses,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,medium,0.34,goodExposure,0.62,low,0.05,True,True,False,False,False,0.05,False
1.0,0.0,0.3,-0.6,male,25.5,0.1,0.3,0.2,NoGlasses,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,medium,0.39,goodExposure,0.47,low,0.11,True,False,False,False,False,0.0,False
0.0,0.0,0.8,1.2,male,17.7,0.2,0.3,0.1,NoGlasses,0.0,0.0,0.0,0.0,0.0,0.998,0.0,0.001,medium,0.31,goodExposure,0.51,medium,0.49,True,False,False,False,False,0.01,False
1.0,0.0,0.2,-6.3,male,23.3,0.0,0.0,0.0,NoGlasses,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,medium,0.42,goodExposure,0.49,medium,0.39,True,False,False,False,False,0.02,False
0.108,0.0,-0.2,1.3,female,25.5,0.0,0.0,0.0,NoGlasses,0.0,0.002,0.0,0.0,0.108,0.889,0.0,0.0,medium,0.41,goodExposure,0.65,medium,0.56,False,False,False,False,False,0.05,False
1.0,0.0,0.2,-2.1,female,28.8,0.0,0.0,0.0,NoGlasses,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,medium,0.57,goodExposure,0.63,medium,0.43,False,True,False,False,False,0.07,False
0.866,0.0,-0.1,0.1,female,25.1,0.0,0.0,0.0,NoGlasses,0.0,0.002,0.0,0.0,0.866,0.132,0.0,0.0,medium,0.37,goodExposure,0.5,low,0.06,False,True,False,False,False,0.02,False
